2018.08.29-20.44.23 [GameDataLoader] Log : 로그인 성공
2018.08.29-20.44.27 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.44.27 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.44.27 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.44.27 [GameDataLoader] Log : 데이터갱신 성공
2018.08.29-20.44.46 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.44.47 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.44.47 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.44.47 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.45.52 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.45.54 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.45.54 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.45.54 [GameDataLoader] Log : 데이터갱신 성공
2018.08.29-20.45.54 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.45.55 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.45.55 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.45.55 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.45.55 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.45.55 [GameDataLoader] Log : 데이터갱신 성공
2018.08.29-20.45.55 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.45.55 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.45.55 [GameDataLoader] Log : 데이터갱신 성공
2018.08.29-20.45.55 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.45.55 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.45.55 [GameDataLoader] Log : 데이터갱신 성공
2018.08.29-20.46.00 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.46.00 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.46.00 [GameDataLoader] Log : 데이터갱신 실패
2018.08.29-20.46.00 [GameDataLoader] Log : 데이터갱신 성공
2018.08.29-20.47.31 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
2018.08.29-20.47.33 [StageStateMachine] Log : 와이 널RedTheSettlers.GameSystem.TitleState
